exp_id,name_opt,side_opt,roc_auc_opt,recall_opt,f1_opt,accuracy_opt,features_opt,name_unsafe,side_unsafe,roc_auc_unsafe,recall_unsafe,f1_unsafe,accuracy_unsafe,features_unsafe,roc_auc_prev_safe,recall_prev_safe,f1_prev_safe,delta_roc_vs_unsafe,delta_recall_vs_unsafe,label
07,safe_feature_selection,optimized_safe,0.9332843501015465,0.8015414258188824,0.8425316455696202,0.86003600360036,46,feature_selection,unsafe,0.9688631008175805,0.8786127167630058,0.9056603773584906,0.9144914491449145,34,0.9386936611466958,0.8063583815028902,0.8501777552056882,-0.035578750716034,-0.07707129094412335,07 feature select
03,safe_pricing_emphasis,optimized_safe,0.9359906329740145,0.7986512524084779,0.8429079816980173,0.860936093609361,46,fare_pricing_features,unsafe,0.9766971632036661,0.8998073217726397,0.9188391539596655,0.9257425742574258,21,0.9358254569598501,0.7947976878612717,0.8405501782985226,-0.04070653022965154,-0.10115606936416177,03 pricing FE
05,safe_geo_emphasis,optimized_safe,0.9360345714211321,0.802504816955684,0.8461147790756729,0.8636363636363636,46,geo_distance_bearing,unsafe,0.968180427537364,0.8795761078998073,0.903960396039604,0.9126912691269127,17,0.9352778537207728,0.791907514450867,0.8379204892966361,-0.032145856116231886,-0.07707129094412335,05 geo FE
04,safe_time_emphasis,optimized_safe,0.9362217166588556,0.7986512524084779,0.8390688259109311,0.8568856885688569,46,time_cyclical_features,unsafe,0.974036446128209,0.8978805394990366,0.9204938271604939,0.9275427542754275,20,0.9418865216372441,0.815028901734104,0.8610687022900764,-0.03781472946935349,-0.09922928709055867,04 time FE
13,stacking_4model_safe,optimized_safe,0.936377942248607,0.8140655105973025,0.8479678876066232,0.8636363636363636,46,stacking_ensemble,unsafe,0.9737256222985992,0.9142581888246628,0.9299363057324841,0.9356435643564357,34,0.9367497916992136,0.8053949903660886,0.8491620111731844,-0.037347680049992116,-0.10019267822736033,13 stacking
14,safe_champion_lgbm,optimized_safe,0.9365699695360099,0.8015414258188824,0.8404040404040404,0.8577857785778578,46,leakage_safe_features,unsafe,0.9386554184242045,0.802504816955684,0.8482688391038696,0.8658865886588659,25,0.9386554184242045,0.802504816955684,0.8482688391038696,-0.0020854488881946187,-0.0009633911368015502,14 safe champion slot
10,histgb_balanced_safe,optimized_safe,0.9366122806332343,0.8082851637764933,0.8453400503778338,0.8618361836183618,46,histgb_sklearn,unsafe,0.9775555902723533,0.9123314065510597,0.9316281357599606,0.9374437443744374,34,0.9390272678748113,0.8131021194605009,0.8538189175518462,-0.04094330963911896,-0.10404624277456642,10 histgb
15,softvote_lgbm_xgb_hgb_safe,optimized_safe,0.9368205814195698,0.802504816955684,0.8439716312056738,0.8613861386138614,46,full_fe_best_blend,unsafe,0.9780983114617507,0.9113680154142582,0.9288168875797742,0.9347434743474348,34,0.9384202663646305,0.8053949903660886,0.8500254194204372,-0.04127773004218094,-0.10886319845857417,15 soft-vote / blend
06,full_optimized_safe_fe,optimized_safe,0.9371012992761547,0.8005780346820809,0.8389702170620899,0.8564356435643564,46,interactions_bins,unsafe,0.9777826055824612,0.9084778420038536,0.9281496062992126,0.9342934293429342,38,0.9388686012602196,0.7986512524084779,0.8454869964303927,-0.04068130630630651,-0.10789980732177273,06 full FE
02,lgbm_optimized_defaults,optimized_safe,0.9372144000937355,0.7976878612716763,0.8384810126582278,0.8564356435643564,46,lightgbm_strong_baseline,unsafe,0.9720380604593032,0.8805394990366089,0.904950495049505,0.9135913591359136,12,0.9364869746914544,0.8034682080924855,0.8488549618320611,-0.03482366036556772,-0.08285163776493254,02 lgbm baseline
12,calibrated_recall_f1_safe,optimized_safe,0.937507729911993,0.9373795761078998,0.8108333333333333,0.7956795679567957,46,threshold_calibration,unsafe,0.9779502226214654,0.8815028901734104,0.920523138832998,0.9288928892889289,34,0.9385821876790086,0.7658959537572254,0.841715193223928,-0.04044249270947231,0.055876685934489356,12 calibration
01,baseline_safe_balanced,optimized_safe,0.9380793365619955,0.8111753371868978,0.8466566113624937,0.8627362736273627,10,baseline_current,unsafe,0.9730429490183826,0.8930635838150289,0.911504424778761,0.918991899189919,13,0.938609038952247,0.802504816955684,0.8469750889679716,-0.03496361245638713,-0.0818882466281311,01 baseline
09,lightgbm_tuned_safe,optimized_safe,0.9409076706764569,0.7870905587668593,0.8453181583031557,0.8654365436543654,46,lightgbm_tuned,unsafe,0.9792561709107952,0.9113680154142582,0.9283611383709519,0.9342934293429342,34,0.9450037103577568,0.7707129094412332,0.8461131676361714,-0.038348500234338334,-0.12427745664739887,09 lightgbm tuned
08,xgboost_tuned_safe,optimized_safe,0.9410142620944645,0.7697495183044316,0.8477453580901857,0.8708370837083709,46,xgboost_tuned,unsafe,0.9788086496901525,0.9104046242774566,0.9278350515463918,0.9338433843384338,34,0.9418889626620841,0.7755298651252408,0.8438155136268344,-0.037794387595687984,-0.140655105973025,08 xgboost tuned
