exp_id,name_opt,side_opt,roc_auc_opt,recall_opt,f1_opt,accuracy_opt,features_opt,name_safe,side_safe,roc_auc_safe,recall_safe,f1_safe,accuracy_safe,features_safe,roc_auc_unsafe,recall_unsafe,f1_unsafe,delta_vs_safe_roc,delta_vs_safe_recall
53,softvote_etbag_lgbmwinner_xgb,optimized_safe,0.9454609956777585,0.7784200385356455,0.8505263157894737,0.8721872187218722,25,,,,,,,,,,,,
51,stacking_top_tuned_models,optimized_safe,0.9450167291569025,0.8005780346820809,0.8505629477993859,0.8685868586858686,25,,,,,,,,,,,,
21,lgbm_prior_winner_replay,optimized_safe,0.9450037103577568,0.7707129094412332,0.8461131676361714,0.869036903690369,25,,,,,,,,,,,,
34,soft_avg_winner_te_optuna,optimized_safe,0.9446286062073633,0.7678227360308285,0.8451749734888653,0.8685868586858686,25,,,,,,,,,,,,
36,lgbm_top7_oof_seeds_bag,optimized_safe,0.9446180284330573,0.7649325626204239,0.8442317916002127,0.8681368136813682,25,,,,,,,,,,,,
35,lgbm_best_oof_seed,optimized_safe,0.9445659532364734,0.7687861271676301,0.8448914769719428,0.8681368136813682,25,,,,,,,,,,,,
27,lgbm_best_of_pass2_seed_bag,optimized_safe,0.944456920793626,0.7649325626204239,0.8446808510638298,0.8685868586858686,25,,,,,,,,,,,,
50,softvote_top_tuned_models,optimized_safe,0.9444528524188929,0.7870905587668593,0.8519290928050052,0.8721872187218722,25,,,,,,,,,,,,
43,tuned_extra_trees,optimized_safe,0.9443796216736968,0.779383429672447,0.8524762908324552,0.873987398739874,25,,,,,,,,,,,,
23,lgbm_winner_seed_bag,optimized_safe,0.9443543977503515,0.7649325626204239,0.8442317916002127,0.8681368136813682,25,,,,,,,,,,,,
24,softvote_winner_xgb_hgb,optimized_safe,0.9443161550278601,0.7803468208092486,0.8512874408828166,0.8726372637263726,25,,,,,,,,,,,,
40,lgbm_champ_ablation_seed_params,optimized_safe,0.9443137140030203,0.7697495183044316,0.8481953290870489,0.8712871287128713,18,,,,,,,,,,,,
32,oof_stack_lgbm_xgb_hgb_cat,optimized_safe,0.9442933721293548,0.7976878612716763,0.8518518518518519,0.8703870387038704,25,,,,,,,,,,,,
52,extratrees_tuned_seed_bag,optimized_safe,0.9442388559079309,0.7784200385356455,0.8523206751054853,0.873987398739874,25,,,,,,,,,,,,
39,lgbm_oof_jitter_around_winner,optimized_safe,0.9440940217674322,0.7687861271676301,0.8462354188759279,0.8694869486948695,25,,,,,,,,,,,,
28,lgbm_winner_cv_target_encoding,optimized_safe,0.9438751432067907,0.7687861271676301,0.8431061806656102,0.8663366336633663,30,,,,,,,,,,,,
37,lgbm_winner_feature_ablation,optimized_safe,0.9438442235588189,0.7639691714836223,0.8445154419595314,0.8685868586858686,18,,,,,,,,,,,,
38,oof_auc_weighted_blend,optimized_safe,0.9437693654637298,0.7870905587668593,0.8528183716075156,0.873087308730873,25,,,,,,,,,,,,
18,lgbm_seed_bag_safe,optimized_safe,0.9432746510961829,0.7909441233140655,0.8507772020725388,0.8703870387038704,25,,,,,,,,,,,,
22,lgbm_local_around_winner,optimized_safe,0.9432738374212362,0.7870905587668593,0.8519290928050052,0.8721872187218722,25,,,,,,,,,,,,
26,lgbm_light_extras_local,optimized_safe,0.943248613497891,0.7726396917148363,0.8473322768092975,0.8699369936993699,28,,,,,,,,,,,,
29,lgbm_winner_bootstrap_bag,optimized_safe,0.943013461438317,0.7572254335260116,0.8447071466953251,0.8699369936993699,25,,,,,,,,,,,,
16,lgbm_deep_tune_safe,optimized_safe,0.9429882375149716,0.7890173410404624,0.8491446345256609,0.869036903690369,25,,,,,,,,,,,,
30,catboost_safe,optimized_safe,0.9427807504035828,0.802504816955684,0.8600929272070211,0.878037803780378,25,,,,,,,,,,,,
46,tuned_lightgbm_full_search,optimized_safe,0.9426700906108422,0.7851637764932563,0.8489583333333334,0.8694869486948695,25,,,,,,,,,,,,
33,best_params_te_bootstrap,optimized_safe,0.9426424256626568,0.7572254335260116,0.8428954423592493,0.8681368136813682,30,,,,,,,,,,,,
19,softvote_deep_tuned_safe,optimized_safe,0.9425919778159663,0.791907514450867,0.8487351574599896,0.8681368136813682,25,,,,,,,,,,,,
49,tuned_selectk_lightgbm,optimized_safe,0.942514678696037,0.7928709055876686,0.8519668737060041,0.8712871287128713,25,,,,,,,,,,,,
31,lgbm_optuna_around_winner,optimized_safe,0.942497591522158,0.7774566473988439,0.8476890756302521,0.8694869486948695,25,,,,,,,,,,,,
20,lgbm_best_params_more_trees_safe,optimized_safe,0.9424593487996668,0.7870905587668593,0.8435725348477027,0.8636363636363636,25,,,,,,,,,,,,
47,tuned_xgboost_full_search,optimized_safe,0.9417001900744674,0.789980732177264,0.8488612836438924,0.8685868586858686,25,,,,,,,,,,,,
48,tuned_catboost_full_search,optimized_safe,0.941664388376816,0.7842003853564548,0.8528025144054479,0.8735373537353736,25,,,,,,,,,,,,
42,tuned_random_forest,optimized_safe,0.9414479508410144,0.7745664739884393,0.8436516264428122,0.8658865886588659,25,,,,,,,,,,,,
17,xgb_deep_tune_safe,optimized_safe,0.9414174380305161,0.7890173410404624,0.8491446345256609,0.869036903690369,25,,,,,,,,,,,,
44,tuned_hist_gradient_boosting,optimized_safe,0.9412038483570274,0.7957610789980732,0.8524251805985552,0.8712871287128713,25,,,,,,,,,,,,
08,xgboost_tuned_safe,optimized_safe,0.9410142620944645,0.7697495183044316,0.8477453580901857,0.8708370837083709,46,xgboost_tuned,safe,0.9418889626620841,0.7755298651252408,0.8438155136268344,0.8658865886588659,25.0,0.9788086496901525,0.9104046242774566,0.9278350515463918,-0.000874700567619624,-0.00578034682080919
09,lightgbm_tuned_safe,optimized_safe,0.9409076706764569,0.7870905587668593,0.8453181583031557,0.8654365436543654,46,lightgbm_tuned,safe,0.9450037103577568,0.7707129094412332,0.8461131676361714,0.869036903690369,25.0,0.9792561709107952,0.9113680154142582,0.9283611383709519,-0.004096039681299901,0.01637764932562613
25,lgbm_broad_80_original_space,optimized_safe,0.9403999375097641,0.7745664739884393,0.8392484342379958,0.8613861386138614,25,,,,,,,,,,,,
01,baseline_safe_balanced,optimized_safe,0.9380793365619955,0.8111753371868978,0.8466566113624937,0.8627362736273627,10,baseline_current,safe,0.938609038952247,0.802504816955684,0.8469750889679716,0.8645364536453646,11.0,0.9730429490183826,0.8930635838150289,0.911504424778761,-0.0005297023902515186,0.00867052023121384
12,calibrated_recall_f1_safe,optimized_safe,0.937507729911993,0.9373795761078998,0.8108333333333333,0.7956795679567957,46,threshold_calibration,safe,0.9385821876790086,0.7658959537572254,0.841715193223928,0.8654365436543654,25.0,0.9779502226214654,0.8815028901734104,0.920523138832998,-0.0010744577670155353,0.17148362235067438
02,lgbm_optimized_defaults,optimized_safe,0.9372144000937355,0.7976878612716763,0.8384810126582278,0.8564356435643564,46,lightgbm_strong_baseline,safe,0.9364869746914544,0.8034682080924855,0.8488549618320611,0.8663366336633663,10.0,0.9720380604593032,0.8805394990366089,0.904950495049505,0.0007274254022811011,-0.00578034682080919
06,full_optimized_safe_fe,optimized_safe,0.9371012992761547,0.8005780346820809,0.8389702170620899,0.8564356435643564,46,interactions_bins,safe,0.9388686012602196,0.7986512524084779,0.8454869964303927,0.8636363636363636,29.0,0.9777826055824612,0.9084778420038536,0.9281496062992126,-0.0017673019840649395,0.0019267822736029894
15,softvote_lgbm_xgb_hgb_safe,optimized_safe,0.9368205814195698,0.802504816955684,0.8439716312056738,0.8613861386138614,46,full_fe_best_blend,safe,0.9384202663646305,0.8053949903660886,0.8500254194204372,0.8672367236723673,25.0,0.9780983114617507,0.9113680154142582,0.9288168875797742,-0.0015996849450606865,-0.0028901734104046506
10,histgb_balanced_safe,optimized_safe,0.9366122806332343,0.8082851637764933,0.8453400503778338,0.8618361836183618,46,histgb_sklearn,safe,0.9390272678748113,0.8131021194605009,0.8538189175518462,0.8699369936993699,25.0,0.9775555902723533,0.9123314065510597,0.9316281357599606,-0.00241498724157696,-0.00481695568400764
14,safe_champion_lgbm,optimized_safe,0.9365699695360099,0.8015414258188824,0.8404040404040404,0.8577857785778578,46,leakage_safe_features,safe,0.9386554184242045,0.802504816955684,0.8482688391038696,0.8658865886588659,25.0,0.9386554184242045,0.802504816955684,0.8482688391038696,-0.0020854488881946187,-0.0009633911368015502
13,stacking_4model_safe,optimized_safe,0.936377942248607,0.8140655105973025,0.8479678876066232,0.8636363636363636,46,stacking_ensemble,safe,0.9367497916992136,0.8053949903660886,0.8491620111731844,0.8663366336633663,25.0,0.9737256222985992,0.9142581888246628,0.9299363057324841,-0.00037184945060653174,0.00867052023121384
04,safe_time_emphasis,optimized_safe,0.9362217166588556,0.7986512524084779,0.8390688259109311,0.8568856885688569,46,time_cyclical_features,safe,0.9418865216372441,0.815028901734104,0.8610687022900764,0.8771377137713772,18.0,0.974036446128209,0.8978805394990366,0.9204938271604939,-0.005664804978388505,-0.01637764932562613
05,safe_geo_emphasis,optimized_safe,0.9360345714211321,0.802504816955684,0.8461147790756729,0.8636363636363636,46,geo_distance_bearing,safe,0.9352778537207728,0.791907514450867,0.8379204892966361,0.8568856885688569,15.0,0.968180427537364,0.8795761078998073,0.903960396039604,0.0007567177003593439,0.010597302504816941
03,safe_pricing_emphasis,optimized_safe,0.9359906329740145,0.7986512524084779,0.8429079816980173,0.860936093609361,46,fare_pricing_features,safe,0.9358254569598501,0.7947976878612717,0.8405501782985226,0.8591359135913591,12.0,0.9766971632036661,0.8998073217726397,0.9188391539596655,0.0001651760141644365,0.003853564547206201
07,safe_feature_selection,optimized_safe,0.9332843501015465,0.8015414258188824,0.8425316455696202,0.86003600360036,46,feature_selection,safe,0.9386936611466958,0.8063583815028902,0.8501777552056882,0.8672367236723673,25.0,0.9688631008175805,0.8786127167630058,0.9056603773584906,-0.005409311045149301,-0.004816955684007751
45,tuned_linear_svc_calibrated,optimized_safe,0.8828991563818154,0.7186897880539499,0.8179824561403509,0.8505850585058505,25,,,,,,,,,,,,
41,tuned_logistic_regression,optimized_safe,0.8823198198198199,0.7186897880539499,0.8170865279299014,0.8496849684968497,25,,,,,,,,,,,,
